# well_id: JAF-MON-035-RAIN
# location: Near point pedro WSS
# recorded_at: 17-09-2026 12:41 (site local time)
date,time,value
01-11-2022,03:30,1
01-11-2022,04:30,2
01-11-2022,05:30,1
01-11-2022,06:30,0.5
01-11-2022,07:30,0.5
01-11-2022,09:30,0.5
02-11-2022,23:30,4
03-11-2022,00:30,0.5
04-11-2022,02:30,5
04-11-2022,06:30,0.5
04-11-2022,09:30,11
04-11-2022,10:30,0.5
04-11-2022,11:30,1.5
04-11-2022,12:30,1.5
04-11-2022,13:30,1.5
04-11-2022,16:30,0.5
07-11-2022,12:30,1
07-11-2022,14:30,8
07-11-2022,15:30,10
07-11-2022,16:30,16.5
07-11-2022,17:30,2.5
07-11-2022,20:30,1
07-11-2022,21:30,11.5
09-11-2022,02:30,0.5
09-11-2022,03:30,3
09-11-2022,04:30,9
09-11-2022,05:30,4.5
09-11-2022,09:30,1
09-11-2022,10:30,1
09-11-2022,13:30,3.5
09-11-2022,20:30,0.5
10-11-2022,02:30,1
10-11-2022,18:30,25.5
10-11-2022,19:30,9
10-11-2022,20:30,38
10-11-2022,21:30,31
10-11-2022,22:30,23
10-11-2022,23:30,19.5
11-11-2022,00:30,20.5
11-11-2022,01:30,9.5
11-11-2022,02:30,0.5
11-11-2022,03:30,0.5
13-11-2022,06:30,0.5
14-11-2022,03:30,16
14-11-2022,04:30,0.5
14-11-2022,07:30,0.5
14-11-2022,10:30,5
14-11-2022,11:30,3.5
14-11-2022,12:30,8
15-11-2022,01:30,8.5
23-11-2022,10:30,1
26-11-2022,15:30,1
30-11-2022,14:30,1
30-11-2022,15:30,17.5
01-12-2022,04:30,0.5
01-12-2022,06:30,3.5
02-12-2022,02:30,1
02-12-2022,05:30,0.5
02-12-2022,07:30,11.5
02-12-2022,08:30,1
02-12-2022,09:30,5.5
02-12-2022,21:30,1
03-12-2022,05:30,0.5
04-12-2022,15:30,0.5
04-12-2022,23:30,0.5
07-12-2022,22:30,0.5
08-12-2022,00:30,0.5
08-12-2022,08:30,3.5
08-12-2022,09:30,4.5
08-12-2022,10:30,11
08-12-2022,11:30,9.5
08-12-2022,12:30,8
08-12-2022,13:30,12
08-12-2022,14:30,7.5
08-12-2022,15:30,8
08-12-2022,16:30,8.5
08-12-2022,17:30,15
08-12-2022,18:30,13.5
08-12-2022,19:30,9.5
08-12-2022,20:30,5
08-12-2022,21:30,5
08-12-2022,22:30,8.5
08-12-2022,23:30,11
09-12-2022,00:30,5
09-12-2022,01:30,5.5
09-12-2022,02:30,1.5
09-12-2022,03:30,8
09-12-2022,04:30,0.5
09-12-2022,06:30,0.5
09-12-2022,07:30,0.5
19-12-2022,09:30,15.5
19-12-2022,10:30,0.5
19-12-2022,18:30,1
21-12-2022,13:30,1
21-12-2022,23:30,3.5
22-12-2022,00:30,1.5
22-12-2022,01:30,2
22-12-2022,02:30,1
23-12-2022,18:30,1.5
23-12-2022,20:30,0.5
23-12-2022,21:30,2
24-12-2022,02:30,1
24-12-2022,10:30,0.5
24-12-2022,16:30,1
24-12-2022,17:30,0.5
24-12-2022,18:30,0.5
24-12-2022,19:30,0.5
24-12-2022,21:30,0.5
24-12-2022,22:30,1
24-12-2022,23:30,0.5
25-12-2022,00:30,1
25-12-2022,02:30,2.5
26-12-2022,05:30,0.5
26-12-2022,10:30,0.5
07-01-2023,04:30,1
23-01-2023,02:30,1
30-01-2023,03:30,0.5
31-01-2023,04:30,0.5
31-01-2023,10:30,6
31-01-2023,13:30,2.5
31-01-2023,23:30,0.5
01-02-2023,00:30,1
01-02-2023,01:30,0.5
01-02-2023,02:30,6
01-02-2023,03:30,1.5
01-02-2023,08:30,0.5
01-02-2023,10:30,0.5
01-02-2023,14:30,0.5
01-02-2023,15:30,2.5
01-02-2023,16:30,10.5
01-02-2023,17:30,14
01-02-2023,18:30,14
01-02-2023,19:30,23
