# well_id: KUB-MON-004-RAIN
# location: Elrado Somagama Tea Estate- Lunugala
# recorded_at: 17-09-2026 12:31 (site local time)
# units: hourly rainfall in mm (a missing row means no rain in that hour)
date,time,value
30-04-2023,16:30,0.5
30-04-2023,19:30,0.5
01-05-2023,10:30,1
01-05-2023,11:30,42.5
01-05-2023,12:30,19.5
01-05-2023,13:30,12
01-05-2023,14:30,1.5
01-05-2023,20:30,0.5
02-05-2023,10:30,3
02-05-2023,11:30,4.5
02-05-2023,12:30,2.5
02-05-2023,13:30,0.5
02-05-2023,20:30,0.5
03-05-2023,10:30,25.5
03-05-2023,11:30,1.5
03-05-2023,12:30,6.5
03-05-2023,13:30,2
03-05-2023,14:30,1
03-05-2023,15:30,2
04-05-2023,02:30,0.5
04-05-2023,11:30,10.5
04-05-2023,12:30,17
04-05-2023,13:30,12.5
04-05-2023,14:30,26.5
04-05-2023,15:30,22.5
04-05-2023,16:30,2.5
04-05-2023,17:30,3
04-05-2023,23:30,1
05-05-2023,00:30,0.5
05-05-2023,01:30,0.5
05-05-2023,05:30,0.5
08-05-2023,03:30,0.5
08-05-2023,12:30,5.5
08-05-2023,13:30,38
08-05-2023,14:30,3
08-05-2023,15:30,5
08-05-2023,16:30,0.5
11-05-2023,10:30,3
11-05-2023,11:30,3
20-05-2023,09:30,1
20-05-2023,10:30,2.5
21-05-2023,13:30,1
21-05-2023,14:30,3.5
21-05-2023,16:30,0.5
23-05-2023,09:30,2
29-05-2023,13:30,10.5
29-05-2023,14:30,0.5
29-05-2023,15:30,0.5
29-05-2023,18:30,0.5
30-05-2023,03:30,0.5
30-05-2023,14:30,27.5
30-05-2023,17:30,0.5
31-05-2023,14:30,1.5
31-05-2023,17:30,0.5
31-05-2023,18:30,11
31-05-2023,19:30,0.5
31-05-2023,21:30,1
31-05-2023,22:30,0.5
04-06-2023,10:30,3
04-06-2023,11:30,2
07-06-2023,03:30,0.5
13-06-2023,10:30,3.5
13-06-2023,11:30,5
21-06-2023,11:30,27.5
25-06-2023,11:30,12
25-06-2023,12:30,1
29-06-2023,11:30,34.5
29-06-2023,12:30,11
29-06-2023,13:30,1
29-06-2023,14:30,0.5
29-06-2023,15:30,0.5
29-06-2023,16:30,0.5
29-06-2023,20:30,1
29-06-2023,21:30,1.5
05-07-2023,09:30,6
05-07-2023,10:30,1
05-07-2023,14:30,0.5
05-07-2023,17:30,1.5
07-07-2023,03:30,0.5
09-07-2023,14:30,14.5
09-07-2023,15:30,5
09-07-2023,17:30,0.5
09-07-2023,22:30,0.5
16-07-2023,15:30,0.5
06-08-2023,03:30,0.5
08-08-2023,12:30,10
09-08-2023,11:30,1
09-08-2023,12:30,1
09-08-2023,15:30,0.5
10-08-2023,12:30,12.5
10-08-2023,13:30,11
10-08-2023,15:30,1
10-08-2023,16:30,1
10-08-2023,17:30,0.5
11-08-2023,10:30,1
11-08-2023,11:30,5
11-08-2023,12:30,30.5
11-08-2023,13:30,0.5
11-08-2023,19:30,0.5
13-08-2023,11:30,0.5
23-08-2023,11:30,31.5
23-08-2023,12:30,4
23-08-2023,13:30,0.5
23-08-2023,23:30,0.5
27-08-2023,20:30,1.5
28-08-2023,00:30,0.5
31-08-2023,08:30,21.5
31-08-2023,09:30,9.5
31-08-2023,10:30,1
31-08-2023,11:30,1
01-09-2023,09:30,5
01-09-2023,10:30,8
01-09-2023,11:30,1
01-09-2023,12:30,3
02-09-2023,12:30,0.5
02-09-2023,13:30,0.5
02-09-2023,18:30,0.5
03-09-2023,11:30,0.5
03-09-2023,14:30,0.5
03-09-2023,16:30,0.5
03-09-2023,22:30,1
03-09-2023,23:30,3
04-09-2023,00:30,0.5
04-09-2023,05:30,1
04-09-2023,07:30,0.5
04-09-2023,08:30,0.5
05-09-2023,22:30,0.5
06-09-2023,00:30,0.5
07-09-2023,08:30,1
07-09-2023,09:30,0.5
07-09-2023,11:30,1.5
17-09-2023,12:30,9
17-09-2023,13:30,0.5
17-09-2023,14:30,0.5
17-09-2023,21:30,0.5
18-09-2023,10:30,1
18-09-2023,12:30,1.5
18-09-2023,13:30,0.5
18-09-2023,18:30,0.5
19-09-2023,09:30,20
19-09-2023,10:30,0.5
19-09-2023,12:30,12.5
19-09-2023,13:30,6
19-09-2023,14:30,10
19-09-2023,15:30,4
20-09-2023,01:30,0.5
20-09-2023,12:30,0.5
20-09-2023,13:30,7.5
20-09-2023,14:30,5.5
20-09-2023,15:30,1
20-09-2023,16:30,0.5
21-09-2023,01:30,0.5
21-09-2023,13:30,1
21-09-2023,14:30,16
21-09-2023,15:30,1
21-09-2023,23:30,0.5
22-09-2023,09:30,5
22-09-2023,10:30,8.5
22-09-2023,11:30,1.5
22-09-2023,14:30,0.5
22-09-2023,15:30,0.5
22-09-2023,23:30,0.5
23-09-2023,10:30,0.5
23-09-2023,15:30,1
24-09-2023,00:30,0.5
24-09-2023,11:30,10
24-09-2023,12:30,2.5
24-09-2023,19:30,0.5
27-09-2023,10:30,0.5
28-09-2023,08:30,1.5
30-09-2023,12:30,5.5
30-09-2023,13:30,14
30-09-2023,22:30,0.5
01-10-2023,07:30,0.5
01-10-2023,08:30,0.5
01-10-2023,13:30,1.5
02-10-2023,08:30,0.5
03-10-2023,10:30,1.5
03-10-2023,11:30,4
05-10-2023,03:30,0.5
06-10-2023,08:30,4
06-10-2023,09:30,9.5
06-10-2023,10:30,1.5
06-10-2023,15:30,0.5
06-10-2023,16:30,1.5
06-10-2023,17:30,1.5
07-10-2023,01:30,0.5
07-10-2023,08:30,46
07-10-2023,09:30,14
07-10-2023,12:30,8.5
07-10-2023,13:30,3.5
07-10-2023,14:30,1
07-10-2023,15:30,3
07-10-2023,16:30,2
07-10-2023,18:30,0.5
09-10-2023,14:30,3.5
09-10-2023,15:30,5
09-10-2023,16:30,0.5
10-10-2023,08:30,1
10-10-2023,09:30,0.5
10-10-2023,13:30,13
10-10-2023,14:30,0.5
10-10-2023,15:30,0.5
10-10-2023,16:30,8
10-10-2023,17:30,35.5
10-10-2023,18:30,4
11-10-2023,04:30,0.5
11-10-2023,07:30,4
11-10-2023,08:30,1.5
11-10-2023,10:30,2
11-10-2023,11:30,3
11-10-2023,13:30,59.5
11-10-2023,14:30,4
11-10-2023,15:30,0.5
11-10-2023,16:30,0.5
11-10-2023,23:30,0.5
12-10-2023,07:30,0.5
12-10-2023,09:30,1.5
12-10-2023,10:30,1.5
12-10-2023,12:30,1
12-10-2023,13:30,29
12-10-2023,14:30,2.5
12-10-2023,15:30,4.5
12-10-2023,16:30,7.5
12-10-2023,17:30,4
12-10-2023,19:30,0.5
13-10-2023,02:30,1
13-10-2023,03:30,1
13-10-2023,16:30,0.5
13-10-2023,17:30,9
13-10-2023,18:30,6
13-10-2023,20:30,0.5
14-10-2023,10:30,0.5
14-10-2023,11:30,1
14-10-2023,13:30,3
14-10-2023,14:30,2.5
14-10-2023,15:30,1
14-10-2023,16:30,2
14-10-2023,17:30,0.5
14-10-2023,18:30,0.5
15-10-2023,08:30,2.5
15-10-2023,09:30,1
15-10-2023,10:30,0.5
15-10-2023,13:30,0.5
16-10-2023,03:30,0.5
16-10-2023,14:30,3.5
16-10-2023,15:30,6
16-10-2023,17:30,0.5
17-10-2023,09:30,2.5
17-10-2023,12:30,12.5
17-10-2023,13:30,44
17-10-2023,14:30,1
17-10-2023,15:30,1.5
17-10-2023,16:30,35
17-10-2023,17:30,9.5
17-10-2023,18:30,1
17-10-2023,19:30,1
17-10-2023,21:30,1.5
17-10-2023,22:30,1
18-10-2023,05:30,1
18-10-2023,06:30,0.5
18-10-2023,12:30,1
18-10-2023,13:30,0.5
18-10-2023,14:30,0.5
19-10-2023,08:30,5.5
19-10-2023,09:30,6
19-10-2023,10:30,1
19-10-2023,11:30,1.5
19-10-2023,12:30,0.5
19-10-2023,13:30,1.5
19-10-2023,14:30,1.5
19-10-2023,16:30,0.5
20-10-2023,04:30,0.5
20-10-2023,07:30,1.5
20-10-2023,08:30,3
20-10-2023,09:30,4
20-10-2023,10:30,0.5
20-10-2023,13:30,4
20-10-2023,16:30,0.5
20-10-2023,18:30,0.5
20-10-2023,19:30,1
20-10-2023,20:30,1.5
20-10-2023,21:30,0.5
21-10-2023,08:30,0.5
21-10-2023,09:30,3
22-10-2023,08:30,5
22-10-2023,09:30,3
22-10-2023,10:30,0.5
22-10-2023,11:30,2
22-10-2023,12:30,0.5
22-10-2023,13:30,0.5
22-10-2023,18:30,0.5
22-10-2023,19:30,3.5
22-10-2023,20:30,2.5
22-10-2023,21:30,5
22-10-2023,22:30,0.5
23-10-2023,02:30,0.5
24-10-2023,14:30,0.5
24-10-2023,15:30,1
24-10-2023,20:30,0.5
25-10-2023,13:30,2.5
25-10-2023,16:30,0.5
26-10-2023,04:30,0.5
30-10-2023,09:30,1
30-10-2023,10:30,4
30-10-2023,12:30,0.5
31-10-2023,10:30,12
31-10-2023,11:30,0.5
31-10-2023,13:30,1
31-10-2023,14:30,3
31-10-2023,15:30,0.5
01-11-2023,01:30,0.5
01-11-2023,10:30,1
01-11-2023,14:30,3.5
01-11-2023,15:30,17.5
01-11-2023,18:30,0.5
01-11-2023,19:30,3.5
01-11-2023,20:30,3
02-11-2023,11:30,1.5
02-11-2023,13:30,2
03-11-2023,03:30,0.5
03-11-2023,09:30,18.5
03-11-2023,10:30,9.5
03-11-2023,11:30,3.5
03-11-2023,12:30,3.5
03-11-2023,13:30,1
03-11-2023,14:30,0.5
03-11-2023,15:30,1.5
03-11-2023,16:30,1
03-11-2023,17:30,0.5
03-11-2023,22:30,0.5
04-11-2023,02:30,0.5
04-11-2023,10:30,17.5
04-11-2023,11:30,0.5
04-11-2023,13:30,1
04-11-2023,14:30,0.5
04-11-2023,15:30,0.5
05-11-2023,00:30,0.5
05-11-2023,10:30,20.5
05-11-2023,11:30,4.5
05-11-2023,14:30,1
05-11-2023,20:30,0.5
06-11-2023,07:30,2.5
06-11-2023,08:30,1
06-11-2023,11:30,9.5
06-11-2023,12:30,0.5
06-11-2023,13:30,0.5
06-11-2023,14:30,0.5
07-11-2023,01:30,0.5
07-11-2023,07:30,1
07-11-2023,10:30,8
07-11-2023,11:30,1.5
07-11-2023,12:30,5.5
07-11-2023,13:30,0.5
07-11-2023,14:30,2
07-11-2023,15:30,0.5
07-11-2023,18:30,0.5
07-11-2023,22:30,0.5
08-11-2023,11:30,3
08-11-2023,13:30,0.5
08-11-2023,21:30,0.5
09-11-2023,09:30,2.5
09-11-2023,10:30,5
09-11-2023,11:30,40.5
09-11-2023,12:30,15.5
09-11-2023,13:30,3.5
09-11-2023,14:30,2.5
09-11-2023,15:30,1.5
09-11-2023,16:30,1
09-11-2023,17:30,2
09-11-2023,18:30,0.5
10-11-2023,00:30,0.5
10-11-2023,11:30,8.5
10-11-2023,12:30,0.5
10-11-2023,14:30,1
10-11-2023,22:30,0.5
11-11-2023,07:30,0.5
11-11-2023,08:30,3
13-11-2023,13:30,2.5
13-11-2023,14:30,2.5
13-11-2023,15:30,0.5
13-11-2023,17:30,0.5
14-11-2023,09:30,21.5
14-11-2023,10:30,18
14-11-2023,11:30,0.5
14-11-2023,12:30,0.5
14-11-2023,13:30,0.5
14-11-2023,14:30,1
14-11-2023,15:30,1
14-11-2023,16:30,1
14-11-2023,17:30,1.5
14-11-2023,22:30,0.5
15-11-2023,09:30,0.5
15-11-2023,10:30,6.5
15-11-2023,11:30,13
15-11-2023,12:30,0.5
16-11-2023,09:30,0.5
16-11-2023,11:30,0.5
16-11-2023,12:30,18
16-11-2023,13:30,19.5
16-11-2023,15:30,1
16-11-2023,16:30,4.5
16-11-2023,19:30,0.5
16-11-2023,20:30,2.5
16-11-2023,21:30,1.5
17-11-2023,07:30,0.5
17-11-2023,08:30,0.5
18-11-2023,09:30,3
18-11-2023,13:30,0.5
18-11-2023,14:30,14
18-11-2023,15:30,9.5
18-11-2023,16:30,7.5
19-11-2023,00:30,0.5
19-11-2023,11:30,1.5
19-11-2023,12:30,34.5
19-11-2023,13:30,3
19-11-2023,14:30,0.5
19-11-2023,15:30,1
20-11-2023,13:30,0.5
20-11-2023,14:30,0.5
20-11-2023,15:30,21
20-11-2023,16:30,1.5
20-11-2023,20:30,0.5
21-11-2023,11:30,1.5
21-11-2023,12:30,10
21-11-2023,13:30,4
21-11-2023,14:30,1.5
21-11-2023,15:30,0.5
22-11-2023,03:30,0.5
22-11-2023,10:30,43
22-11-2023,11:30,18.5
22-11-2023,12:30,7
22-11-2023,13:30,7
22-11-2023,14:30,4
22-11-2023,15:30,0.5
22-11-2023,19:30,0.5
22-11-2023,20:30,4.5
22-11-2023,21:30,0.5
23-11-2023,02:30,0.5
25-11-2023,08:30,0.5
25-11-2023,11:30,2.5
26-11-2023,07:30,0.5
26-11-2023,09:30,1
26-11-2023,13:30,4.5
26-11-2023,23:30,1.5
27-11-2023,02:30,0.5
27-11-2023,03:30,0.5
27-11-2023,06:30,2.5
27-11-2023,07:30,1
27-11-2023,09:30,1
27-11-2023,12:30,0.5
27-11-2023,14:30,0.5
27-11-2023,15:30,1.5
27-11-2023,16:30,9.5
27-11-2023,17:30,3
27-11-2023,20:30,15
27-11-2023,21:30,7
27-11-2023,22:30,1
27-11-2023,23:30,2
28-11-2023,09:30,0.5
28-11-2023,13:30,1.5
28-11-2023,14:30,1.5
28-11-2023,17:30,0.5
28-11-2023,18:30,1
